path,rightHand,fingersCount,density,angle_x,angle_y,meanX,meanY,mean_middle_point
../../train/00048bba-979b-4f84-b833-5bbbb082b582_0L.png,L,0,0.6956315289648622,0.15264932839526515,1.4784669920632976,0.48157871707359756,0.5221337378333964,0.25234339502746445
../../train/000547a2-d456-4b16-b351-12ca9b40e390_0L.png,L,0,0.7006802721088435,0.21866894587394195,1.4489538897749794,0.49204422869471404,0.4650287299385774,0.4063055494849704
../../train/000cac8e-fcf0-4f8c-bd16-c257d1e6d7a8_2L.png,L,2,0.6032331253545093,0.993863381777436,1.6056659083496863,0.5601729218984715,0.5551491892719301,0.19798491466624227
../../train/000d9961-8136-4dee-9820-86e178777958_0L.png,L,0,0.6447619047619048,0.11848995915813777,1.4513674007765582,0.48056903706829857,0.5028360413589366,0.15130632989746604
../../train/0010095b-2e3d-4517-a511-1f688c378f96_5L.png,L,5,0.36596385542168675,-0.22347660114063303,1.6429599557545542,0.5354555657585961,0.5704929707607083,0.07701740230873627
../../train/00147c9a-67f5-4e86-a56b-681f0815ef2b_5R.png,R,5,0.36993243243243246,0.20176234432028708,1.2694511030847926,0.475852862372165,0.6003893058687579,0.057025748955402335
../../train/0014eacf-b0b7-49af-9d67-83661b3debb4_2R.png,R,2,0.6952205882352941,0.7998899024629483,1.5582969777755349,0.5738949202102842,0.5625528820729773,0.856470535576617
../../train/001cddc6-e29c-44da-82d5-bd00ec215f07_2R.png,R,2,0.5868347338935574,0.14189705460416394,1.2956070776657254,0.5299124900556882,0.5478141232626702,1.1506706446378276
../../train/001e18d6-4632-4876-a922-7b4ead742070_3L.png,L,3,0.49526270456503013,0.07393903765794034,1.455037109074086,0.5143478260869565,0.5404145601617796,0.6673936783423942
../../train/00218888-86f2-4154-87f1-003dee60af03_0R.png,R,0,0.6855049712192569,0.02563540852167748,1.4288992721907328,0.5038559404971619,0.5049696214363607,0.22076928683640218
../../train/0021e94b-7913-47f4-8ec6-0d11b1a30bb1_4L.png,L,4,0.48,0.2914567944778671,1.4308716562207788,0.43569248826291074,0.5362113998545261,0.5626395862229212
../../train/002266f8-db3f-4be8-a45a-3f6f9958d1f8_2L.png,L,2,0.6944140197152245,1.0749018353588367,1.6549345673260676,0.48699933084791136,0.5739234540686405,0.2696887197953518
../../train/00230b23-340e-4e24-89f6-ebd0a55a6dad_0L.png,L,0,0.7148227712137487,0.15660187698201536,1.3891474967948847,0.5057732611016648,0.5172419080329352,0.21944275256869378
../../train/002a1af0-8700-47df-b4e0-ef18ffde24de_1L.png,L,1,0.6372549019607843,0.4266274931268761,1.3397056595989996,0.4451578724305998,0.6013677498971617,0.4696797851381328
../../train/002bed28-19ae-4b57-981e-2d047d83d4f6_2R.png,R,2,0.6193293885601578,1.0235119458074597,1.192502335453437,0.5753443301214003,0.5644700310305405,0.606405693083116
../../train/002d915d-68ce-4ed7-a9ea-76731669ef9f_3R.png,R,3,0.5,0.05167808448243,1.6152115420418074,0.47008191306645525,0.5504427415921669,0.6246390351445845
../../train/002eb218-7475-43d0-bd90-bbbe055e3937_0L.png,L,0,0.7087566521528785,0.22679884805388587,1.458068715204519,0.48352148420407814,0.5244381479811965,0.2146544879484191
../../train/003121a9-b34a-40a9-b2ad-9573311cbac9_3L.png,L,3,0.510914617297596,0.12697278961407893,1.4288992721907328,0.44359803459029024,0.544857522142541,0.6902508381278778
../../train/003dad40-09c2-4cf9-8a9e-97a6d7b93aaa_5R.png,R,5,0.38106330501507263,0.33517256713673327,1.378095568132511,0.4660881018468016,0.5973504880679875,0.07297228065099683
../../train/0044468b-a525-4a3a-b0d0-149c9fb6c7bc_5R.png,R,5,0.3601218059049384,0.25786454780099666,1.403694526863791,0.4587629282482224,0.5807804748405386,0.07071416194888806
../../train/00468b20-9711-4d95-9f75-4019eaa0e20e_4R.png,R,4,0.43901948965240106,-0.12630811706324024,1.634003158692357,0.5186444371799063,0.5265301393274049,0.4334682661911181
../../train/004a1a23-06f5-43ea-804b-0bfd980a1649_0L.png,L,0,0.7211538461538461,0.09966865249116202,1.3078015951139772,0.5375333333333334,0.5038589743589743,0.23443532006710202
../../train/00512e1d-4a0a-4bf6-9dbe-19ca592bde69_2R.png,R,2,0.5708020050125313,1.0366137518895122,1.5313431256978571,0.564006063457216,0.5516855393148073,0.7024651853095735
